Entity ID,Annual Clients,Infraction Type,Infraction Timeline,Public Complaints,Sentiment Analysis,Inspection Results,Predicted Risk Category,High %,Low %,Moderate %,Risk Score,Phone Number,Address
E0000,179,None,Within past year,None,None,Pass,Moderate,0.0,0.0,1.0,2.54,(847)278-8493x90374,"1212 Tanya River
Lake Allisonview, NT B5R 5A8"
E0001,138,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.3,204-953-2138,"9133 Young Shoal
South Jamie, AB K3K5V5"
E0002,157,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.33,(718)897-1945x8676,"2104 Miller Fall
Kellytown, MB P2L7N3"
E0003,50,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.15,3628619105,"763 Mary Extensions Apt. 737
Kristinmouth, NT E1B 5A6"
E0004,150,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.32,(210)274-0674x1032,"6776 Alexa Unions
Davidfurt, NU H3T 5M1"
E0005,18,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.06,720-486-6899x297,"825 Simpson Junctions
Mcguireview, NT H6C 4X6"
E0006,14,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.04,7653858340,"086 Christopher Harbors Suite 748
Gillespiefurt, AB E9P 8L5"
E0007,191,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.4,001-438-263-6533,"013 Sean Squares Apt. 660
North Roberta, NB J5H2K8"
E0008,177,None,None,None,None,Fail,Moderate,0.0,0.0,1.0,2.53,7459872842,"55985 Michael Drive Apt. 934
North Rachelton, ON E7A9S7"
E0009,87,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.19,2295257761,"36228 James Island Suite 462
Kimberlyville, SK C3G2S5"
E0010,81,None,Within past 1-3 years,None,None,Pass,Moderate,0.0,0.0,1.0,2.24,(241)763-6882x08123,"20728 Curtis Light Suite 483
Port Monique, NL L7S5P6"
E0011,77,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.17,+1-716-475-1769x3939,"920 Davis Villages Apt. 304
South Jason, MB M2L 3H1"
E0012,39,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.1,(911)530-3232,"632 Ashley Springs Apt. 675
Chapmanburgh, QC P9E4C3"
E0013,76,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.23,671.736.5704x3906,"1453 Monica Springs Apt. 575
Williamstown, NU E6C 7S6"
E0014,28,None,None,None,None,Fail,Moderate,0.0,0.0,1.0,2.08,453-295-2713,"402 Johnson Port Apt. 492
Cruzhaven, NU Y2X1Y6"
E0015,177,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.37,647.818.0767,"966 Ethan Lodge Suite 859
Kruegerburgh, NT C3V 4J3"
E0016,69,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.21,(763)928-0690x8862,"206 Campbell Well Apt. 000
Jeffreymouth, SK M8B 1C6"
E0017,122,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.26,+1-446-697-9087,"0338 Lisa Rapid
Burnsport, NT L4S 3M2"
E0018,43,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.11,865.396.9142,"84611 Nathan Shores Suite 272
Clairemouth, YT N8T 1L1"
E0019,182,None,None,None,None,Fail,Moderate,0.0,0.0,1.0,2.55,(938)755-5305,"56722 Alan Forks Apt. 735
North Michaelchester, NU E7J1B4"
E0020,191,None,None,None,None,Fail,Moderate,0.0,0.0,1.0,2.57,(218)452-1889x9157,"681 Joseph Mountains Suite 982
Smithmouth, MB J8S3T2"
E0021,104,None,None,Major,Flagged,Pass,Moderate,0.0,0.0,1.0,2.31,+1-648-240-4834,"14106 Perkins Courts
Reeseborough, PE G3X6R4"
E0022,153,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.46,8959568785,"45266 Carter Port Suite 023
Port Patriciaport, NT V3A 3L9"
E0023,127,Minor,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.38,221.374.8700,"1204 Scott Ranch Apt. 584
New Darren, ON R6A 7L1"
E0024,34,None,None,None,None,Fail,Moderate,0.0,0.0,1.0,2.1,816-921-9023x66461,"87199 Shaffer Square
North Richard, NL C6H 2E3"
E0025,86,None,Within past 1-3 years,None,None,Pass,Moderate,0.0,0.0,1.0,2.26,+1-283-517-8189x2077,"0726 Velazquez Unions
Ashleyborough, YT R2E 1P6"
E0026,33,None,None,None,None,Fail,Moderate,0.0,0.0,1.0,2.1,+1-303-564-9533x05321,"228 Adams Port Apt. 912
Nicholsburgh, MB N4R 9J4"
E0027,179,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.38,001-602-709-0416x5282,"82079 Strickland Wells
North Jessicaland, NB Y8E 2Y8"
E0028,36,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.09,+1-871-901-2331x75207,"93450 Montes Keys
Carlbury, NL C3L 6H9"
E0029,65,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.15,631.357.5780,"2910 Brady Stravenue
Lake Andre, NT K7E 4H3"
E0030,131,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.28,001-821-385-1343,"138 Heather Club
East Devin, NS S8V 3S5"
E0031,176,None,None,Minor,Flagged,Pass,Moderate,0.0,0.0,1.0,2.53,+1-984-225-1122x2514,"398 Thomas Islands Suite 172
Richmondfurt, NT T6H 6C4"
E0032,45,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.11,(886)227-6014x97843,"0164 Robert Spring Suite 842
New Anthonyhaven, YT S2S 8E8"
E0033,91,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.2,822.624.7834x843,"1398 Mcintyre Knoll
North Andreafort, NT A9B 7H5"
E0034,41,None,None,None,Flagged,None,Moderate,0.0,0.0,1.0,2.12,(551)669-0115x533,"989 Kimberly Fall Apt. 452
Latoyaville, NS N4J 2C8"
E0035,119,None,None,None,None,None,Low,0.0,0.9792243334722623,0.02077566652773754,1.26,001-388-891-4316x0856,"6173 Brady Crest Apt. 518
West Jose, BC M5R 7J2"
E0036,66,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.15,(601)761-7158x3596,"96860 Vickie Cape Apt. 861
South Victor, NS R2N 8J2"
E0037,87,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.19,812-503-3813,"4413 Carr Knoll
East Nicholas, QC L8E 7E1"
E0038,126,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.27,8515469060,"586 Tapia Row
New Rubenhaven, PE S9R 5B8"
E0039,53,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.13,474.794.0196x961,"517 Austin Harbors
North Joe, AB H3K 8K7"
E0040,40,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.1,801-316-2920x022,"5707 Valentine Manors
New Dustinhaven, NU A6J 2N1"
E0041,109,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.24,(978)351-8123x76413,"51370 Lamb Plaza
Goodwinview, SK Y8B7H7"
E0042,56,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.13,+1-896-948-0522x95710,"038 Davis Mountains Suite 883
South Davidland, ON K9B 9C4"
E0043,33,Minor,None,None,None,Pass,Moderate,0.0,0.0,1.0,2.1,+1-526-527-3716x695,"8597 Holland Rapid Suite 400
East James, AB B1E8K2"
E0044,38,Minor,None,Minor,None,Fail,Moderate,0.0,0.0,1.0,2.11,5845402732,"254 Lucas Islands Suite 405
East Timothyville, QC N8A 6A4"
E0045,166,Major,Within past year,None,None,Pass,Moderate,0.025,0.0,0.975,2.52,+1-201-267-3140x93325,"09836 Norman Cove Apt. 658
North Kimberlymouth, MB H7E7Y2"
E0046,38,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.1,833.579.1038x8195,"060 Roberts Flats
Longside, PE V7E5P2"
E0047,26,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.07,531.250.0825,"133 Russell Green
Melissaburgh, AB R1R 2V1"
E0048,46,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.11,(328)635-4499x407,"7048 James Ways
West Susanchester, MB L8K 7Y3"
E0049,156,None,None,Minor,None,Pass,Moderate,0.0,0.0,1.0,2.47,773.827.0969,"979 Parker Valley
Darlenestad, ON H1J 7P6"
E0050,40,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.1,210-687-0696,"5998 Sarah Fort
South Jessica, PE T1T 2J3"
E0051,63,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.15,001-253-773-9213x2916,"082 Melissa Mountain Apt. 550
Rothville, ON C8T 1B7"
E0052,66,None,None,None,None,Fail,Moderate,0.0,0.0,1.0,2.2,(281)737-8334x468,"982 Curtis Ports Suite 065
West Angela, BC S9E 1Y1"
E0053,121,None,None,Minor,None,Pass,Moderate,0.0,0.0,1.0,2.36,766.442.4020x2560,"62479 Jones Loop Apt. 031
Port Matthewbury, NS K1V 1Y5"
E0054,185,None,None,None,Flagged,Pass,Moderate,0.0,0.0,1.0,2.56,001-886-848-8088x144,"39204 West Stream Suite 242
North Shelby, MB Y2K 6S5"
E0055,157,None,None,Major,Flagged,Pass,Moderate,0.0,0.0,1.0,2.47,(418)652-6986,"38898 Taylor Spur
Thomasside, YT T4M4N1"
E0056,137,None,None,Minor,None,Fail,Moderate,0.0,0.0,1.0,2.41,+1-986-885-3051,"015 Jennifer Island Apt. 419
West Timothyton, NB E7X 9B7"
E0057,31,None,None,None,None,Pass,Low,0.0,0.9792243334722623,0.02077566652773754,1.08,001-475-962-8870x06949,"4848 Burke Station
New Tracitown, BC E7B 2J4"
